Geneid	Sample	Source	Stage	Tissue	Logcpm
ENSG00000165246	BA_Liver	B	Adult	Liver	2.108161654362651
ENSG00000176728	BA_Liver	B	Adult	Liver	1.9603852037945793
ENSG00000185275	BA_Liver	B	Adult	Liver	0.5522753166249571
ENSG00000131002	BA_Liver	B	Adult	Liver	4.034839610866074
ENSG00000012817	BA_Liver	B	Adult	Liver	3.976192373646282
ENSG00000198692	BA_Liver	B	Adult	Liver	3.551776985181189
ENSG00000129824	BA_Lung	B	Adult	Lung	6.35655364944629
ENSG00000067646	BA_Lung	B	Adult	Lung	5.0243621213483864
ENSG00000231535	BA_Lung	B	Adult	Lung	1.8209946315224013
ENSG00000099725	BA_Lung	B	Adult	Lung	4.16094549006034
ENSG00000233864	BA_Lung	B	Adult	Lung	4.175465514022437
ENSG00000114374	BA_Lung	B	Adult	Lung	6.40971950667869
ENSG00000067048	BA_Lung	B	Adult	Lung	5.996584283576149
ENSG00000183878	BA_Lung	B	Adult	Lung	6.218474401453154
ENSG00000165246	BA_Lung	B	Adult	Lung	3.052792195061485
ENSG00000176728	BA_Lung	B	Adult	Lung	2.3678639090150164
ENSG00000185275	BA_Lung	B	Adult	Lung	4.9946470580955
ENSG00000131002	BA_Lung	B	Adult	Lung	6.1080113249402315
ENSG00000012817	BA_Lung	B	Adult	Lung	6.006092895435801
ENSG00000198692	BA_Lung	B	Adult	Lung	4.156072824597657
ENSG00000129824	BA_Stomach	B	Adult	Stomach	5.3523344419279715
ENSG00000067646	BA_Stomach	B	Adult	Stomach	3.7055543855305935
ENSG00000231535	BA_Stomach	B	Adult	Stomach	0.7084158654930872
ENSG00000099725	BA_Stomach	B	Adult	Stomach	2.369143813998084
ENSG00000233864	BA_Stomach	B	Adult	Stomach	2.745469768018938
ENSG00000114374	BA_Stomach	B	Adult	Stomach	5.112803250154619
ENSG00000067048	BA_Stomach	B	Adult	Stomach	4.097774379182608
ENSG00000183878	BA_Stomach	B	Adult	Stomach	4.843745085860509
ENSG00000165246	BA_Stomach	B	Adult	Stomach	1.581399208695048
ENSG00000176728	BA_Stomach	B	Adult	Stomach	2.0600628263195317
ENSG00000185275	BA_Stomach	B	Adult	Stomach	5.628085222882183
ENSG00000131002	BA_Stomach	B	Adult	Stomach	4.193723372284028
ENSG00000012817	BA_Stomach	B	Adult	Stomach	4.074695794830694
ENSG00000198692	BA_Stomach	B	Adult	Stomach	2.4188618219194904
ENSG00000129824	BF_Colon	B	Fetus	Colon	0.1451896956232485
ENSG00000067646	BF_Colon	B	Fetus	Colon	0
ENSG00000231535	BF_Colon	B	Fetus	Colon	0
ENSG00000099725	BF_Colon	B	Fetus	Colon	0.07442052452810032
ENSG00000233864	BF_Colon	B	Fetus	Colon	0.07442052452810032
ENSG00000114374	BF_Colon	B	Fetus	Colon	0.07442052452810032
ENSG00000067048	BF_Colon	B	Fetus	Colon	0.037690076116190546
ENSG00000183878	BF_Colon	B	Fetus	Colon	0.11023900058840945
ENSG00000165246	BF_Colon	B	Fetus	Colon	0.037690076116190546
ENSG00000176728	BF_Colon	B	Fetus	Colon	0
ENSG00000185275	BF_Colon	B	Fetus	Colon	5.944567319860371
ENSG00000131002	BF_Colon	B	Fetus	Colon	0.1451896956232485
ENSG00000012817	BF_Colon	B	Fetus	Colon	0.1451896956232485
ENSG00000198692	BF_Colon	B	Fetus	Colon	0
ENSG00000129824	BF_Stomach	B	Fetus	Stomach	7.476615159641204
ENSG00000067646	BF_Stomach	B	Fetus	Stomach	6.00328979738438
ENSG00000231535	BF_Stomach	B	Fetus	Stomach	2.449371181567743
ENSG00000099725	BF_Stomach	B	Fetus	Stomach	5.158115510082465
ENSG00000233864	BF_Stomach	B	Fetus	Stomach	5.169082869774266
ENSG00000114374	BF_Stomach	B	Fetus	Stomach	7.1924239354166
ENSG00000067048	BF_Stomach	B	Fetus	Stomach	7.078887223047822
ENSG00000183878	BF_Stomach	B	Fetus	Stomach	7.272787479717493
ENSG00000165246	BF_Stomach	B	Fetus	Stomach	4.772303088837177
ENSG00000176728	BF_Stomach	B	Fetus	Stomach	4.902865685349481
ENSG00000185275	BF_Stomach	B	Fetus	Stomach	5.780049457496541
ENSG00000131002	BF_Stomach	B	Fetus	Stomach	7.278812114040206
ENSG00000012817	BF_Stomach	B	Fetus	Stomach	7.130999442792193
ENSG00000198692	BF_Stomach	B	Fetus	Stomach	4.8578226626343115
ENSG00000129824	OA_Stomach	O	Adult	Stomach	0
ENSG00000067646	OA_Stomach	O	Adult	Stomach	0
ENSG00000231535	OA_Stomach	O	Adult	Stomach	0
ENSG00000099725	OA_Stomach	O	Adult	Stomach	0
ENSG00000233864	OA_Stomach	O	Adult	Stomach	0
ENSG00000114374	OA_Stomach	O	Adult	Stomach	0
ENSG00000067048	OA_Stomach	O	Adult	Stomach	0
ENSG00000183878	OA_Stomach	O	Adult	Stomach	0
ENSG00000165246	OA_Stomach	O	Adult	Stomach	0
ENSG00000176728	OA_Stomach	O	Adult	Stomach	0
ENSG00000185275	OA_Stomach	O	Adult	Stomach	5.841800773031381
ENSG00000131002	OA_Stomach	O	Adult	Stomach	0
ENSG00000012817	OA_Stomach	O	Adult	Stomach	0
ENSG00000198692	OA_Stomach	O	Adult	Stomach	0
